dataset,category,image_index,map,nss,auc_judd,sauc,cc,sim,kl
MIT1003,stimuli,21,gradient_only,0.7063414903224071,0.6934968668424698,0.6359166666666666,0.33647062751058243,0.47066081117226855,1.0080507696246903
MIT1003,stimuli,21,full_awmb,0.8469982189750939,0.7294743220925897,0.6130645833333334,0.4398081006349559,0.5069466608924839,0.756232232825431
MIT1003,stimuli,21,detail_retention,0.8014237671905629,0.7294741556123808,0.6098677083333334,0.4188221050576941,0.5163333617866325,0.7894786132692468
MIT1003,stimuli,22,uniform,0.0,0.5,0.5,0.0,0.33779883221949925,1.4816779512050324
MIT1003,stimuli,22,center_prior,0.8924596714915584,0.7632993849348989,0.398729,0.34143524326938274,0.39745234813621094,1.1858188305507076
MIT1003,stimuli,22,gradient_only,0.20524112171389255,0.606399472801342,0.560696,0.06516309373566295,0.3328828124352018,1.5344093683477065
MIT1003,stimuli,22,full_awmb,0.47642457573254837,0.6699181244508348,0.530682,0.17034602114076056,0.3652467578099635,1.3509402867691682
MIT1003,stimuli,22,detail_retention,0.5764348189646712,0.6699179247543734,0.5354809999999999,0.2090131283810419,0.37610936042302023,1.3153645817042596
MIT1003,stimuli,23,uniform,0.0,0.5,0.5,0.0,0.2616031458202283,1.6673300286195163
MIT1003,stimuli,23,center_prior,1.3899940295598443,0.8887016218456976,0.6404774248279762,0.528906388019696,0.366621646063427,1.220073612915222
MIT1003,stimuli,23,gradient_only,1.1288816806943407,0.6831333049863704,0.6766792346121219,0.23158272853579873,0.27556468065928336,1.7055597259092543
MIT1003,stimuli,23,full_awmb,1.6628634347533167,0.8196062874416944,0.7119879347723631,0.45409422287945805,0.3377830890175373,1.2830291061661003
MIT1003,stimuli,23,detail_retention,1.2233777236391348,0.8196062874416944,0.7180610802149117,0.3864664421857618,0.36159331048928445,1.1978179617802571
MIT1003,stimuli,24,uniform,0.0,0.5,0.5,0.0,0.2291362280730993,1.935404593128087
MIT1003,stimuli,24,center_prior,1.599765952158802,0.9374251497005988,0.7746182479224377,0.5014400926165384,0.3181322246659765,1.4281074397565687
MIT1003,stimuli,24,gradient_only,0.6795546066948563,0.7570233217774976,0.6533189058171746,0.1668300359737669,0.2706334238680074,1.7106364048017568
MIT1003,stimuli,24,full_awmb,1.1760218901893749,0.835024687467171,0.702951869806094,0.33071074114271326,0.3070813308927864,1.4860938999633548
MIT1003,stimuli,24,detail_retention,1.2789145814711933,0.8350248187834857,0.6989058171745153,0.3806918742940113,0.358598567319598,1.249005060955956
MIT1003,stimuli,25,uniform,0.0,0.5,0.5,0.0,0.30519477837237047,1.7285933856381135
MIT1003,stimuli,25,center_prior,1.2048231082427818,0.8356038341965081,0.5632312147538485,0.3710521614072546,0.3759666013586178,1.3417493602608555
MIT1003,stimuli,25,gradient_only,0.7490121096031696,0.719796830466558,0.6313443072702332,0.22350049892098645,0.3740887266027596,1.6039136412585482
MIT1003,stimuli,25,full_awmb,1.0689973855483188,0.7966549974800965,0.632344154854443,0.3234062372003474,0.3942245653358166,1.3092858000557144
MIT1003,stimuli,25,detail_retention,1.0822887199444047,0.7966548742574294,0.6376116445663771,0.33253767465474743,0.4281095261624467,1.1591375097304064
MIT1003,stimuli,26,uniform,0.0,0.5,0.5,0.0,0.33330108869676095,1.346811028736692
MIT1003,stimuli,26,center_prior,0.7360438510455775,0.7202284647080308,0.3574302455357144,0.3354863015878898,0.40406480233031195,1.1065057534230391
MIT1003,stimuli,26,gradient_only,0.45491464302835105,0.6306750573551568,0.5025135522959183,0.16516276654753556,0.38204561645667906,1.2429656818102937
MIT1003,stimuli,26,full_awmb,0.5957836171972458,0.6660289115646258,0.46915656887755103,0.2365997791818099,0.39409595813616555,1.1742969007457829
MIT1003,stimuli,26,detail_retention,0.6087411348003282,0.6660290007362005,0.4692474489795918,0.24227452804658564,0.3952882670472512,1.13729767567607
MIT1003,stimuli,27,uniform,0.0,0.5,0.5,0.0,0.2567995973391271,1.9007707184417348
MIT1003,stimuli,27,center_prior,1.4376668377082125,0.8872843901200232,0.7508978675645342,0.44153438364105724,0.32206108902150365,1.4601819020302342
